"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"%Nwm - Adult Admit","16/11/2014","1:23:40","NEW ZEALAND",15,8.25,"International","Ticket Sales",-41,174
"Postcards/4 Scene Geelong/11ge001/Dno","9/3/2010","11:50:36","UNITED KINGDOM",22,0.59,"International","Shop Sales",54,-2
"Postcard Nwm Loom","29/12/2005","14:53:00","UNITED STATES",23,1,"International","Shop Sales",38,-97
"Lanolin Hand & Nail Cream/Special Care","31/3/2006","15:47:03","CANADA",3,9.95,"International","Shop Sales",60,-95
"Soap - Sheeps Milk","21/2/2015","4:18:02","GERMANY",7,7.23,"International","Shop Sales",51,9
"Postcards - Geelong Aerial/11ge004","10/3/2006","16:11:24","GERMANY",7,0.65,"International","Shop Sales",51,9
"Jumper - Cowl Neck Bg2126 Dewberry","15/1/2006","11:28:25","UNITED KINGDOM",22,139.95,"International","Shop Sales",54,-2
"Oils - Gumnut 15 Ml","28/6/2014","12:36:39","UNITED KINGDOM",22,23.64,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","10/4/2014","1:27:21","AUSTRIA",2,7.5,"International","Ticket Sales",47.3333,13.3333
"%Nwm - Concess Admit","19/5/2008","15:07:55","NEW ZEALAND",15,5.9,"International","Ticket Sales",-41,174
"Postcards Apostles/Abs","24/5/2009","9:59:53","TAIWAN",21,0.65,"International","Shop Sales",23.5,121
"Postcards-Apostle Sunset 11go166","22/6/2005","14:35:39","UNITED STATES",23,0.65,"International","Shop Sales",38,-97
"Bookmarks/Opal Chip/Opbm","26/7/2013","11:03:55","TAIWAN",21,4.5,"International","Shop Sales",23.5,121
"Card - Aust Native Flowers (Pressed) Jm","6/6/2008","15:44:59","UNITED STATES",23,9.95,"International","Shop Sales",38,-97
"Throw Rug/Mohair/Verona Dno","4/9/2010","16:19:42","TAIWAN",21,153.64,"International","Shop Sales",23.5,121
"Cards/#1 Emu With Attitude","27/12/2005","15:34:13","UNITED STATES",23,3.95,"International","Shop Sales",38,-97
"%Nwm - Concess Admit","5/2/2013","10:50:22","UNITED STATES",23,6,"International","Ticket Sales",38,-97
"Pendant - Glass Gold/Opal Gpop2011","15/3/2007","13:26:17","OTHER INTERNATIONAL",25,49.95,"International","Shop Sales",NA,NA
"%Nwm - Concess Admit","20/4/2013","1:52:52","UNITED STATES",23,6,"International","Ticket Sales",38,-97
"Lanolin/Cream Vit E Crm/Aus-Day","22/8/2007","14:23:27","CHINA",4,8.95,"International","Shop Sales",35,105
"Keyring  - Woollen Sheep","31/3/2006","14:40:53","JAPAN",11,8.95,"International","Shop Sales",36,138
"Playing Cards/Aust Wildlife","28/10/2011","11:38:55","UNITED KINGDOM",22,6.32,"International","Shop Sales",54,-2
