"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"Family Child - NWM Only","3/1/2007","11:13:17","UNITED KINGDOM",22,0,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","27/12/2005","15:24:13","UNITED STATES",23,7.3,"International","Ticket Sales",38,-97
"Postcards - Bollards Rippleside Swim Clu","27/3/2007","13:01:36","UNITED KINGDOM",22,1.5,"International","Shop Sales",54,-2
"Postcards/G O R/12 Apostles/140603","16/12/2014","11:10:06","DENMARK",5,0.77,"International","Shop Sales",56,10
"Magnet/Rubber/Aus Grt Adv","15/2/2015","10:49:12","OTHER INTERNATIONAL",25,2.68,"International","Shop Sales",NA,NA
"Coin/Box/Leather/Lp02","4/1/2013","4:23:22","OTHER INTERNATIONAL",25,4.5,"International","Shop Sales",NA,NA
"Postcard - Carousel/Wtrfront 1-10034","31/12/2007","12:17:05","UNITED STATES",23,0.95,"International","Shop Sales",38,-97
"Xmas Ornament/Wombat","13/12/2014","12:34:23","UNITED KINGDOM",22,9.95,"International","Shop Sales",54,-2
"Sock - Stockpile 6-10 Nvy","8/6/2010","10:56:19","UNITED STATES",23,15,"International","Shop Sales",38,-97
"Magnet/Symbol Resin/Friendship","11/12/2014","2:36:35","CANADA",3,3.18,"International","Shop Sales",60,-95
"Tie - Aust Tartan","23/6/2006","12:51:09","UNITED STATES",23,39.95,"International","Shop Sales",38,-97
"Postcard/Geelong Baths Swim Club","23/11/2013","3:26:11","UNITED STATES",23,1.14,"International","Shop Sales",38,-97
"Banksia Nut Mini Scent Pot","17/10/2013","1:36:19","CHINA",4,11.77,"International","Shop Sales",35,105
"%Nwm - Concess Admit","29/1/2011","12:43:10","DENMARK",5,5.9,"International","Ticket Sales",56,10
"Pendant - Thong Sml/Purple/Silver","22/10/2006","13:44:51","UNITED KINGDOM",22,24.95,"International","Shop Sales",54,-2
"%Nwm & Fdc - Adult","3/10/2006","15:01:38","UNITED KINGDOM",22,11.5,"International","Ticket Sales",54,-2
"Postcards/4 Scene Geelong/11ge001/Dno","14/2/2006","10:54:04","JAPAN",11,0.65,"International","Shop Sales",36,138
"%Nwm - Adult Admit","6/10/2008","12:34:10","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"Magnet -Wooden 3d Gor","21/3/2006","13:04:29","UNITED KINGDOM",22,3.95,"International","Shop Sales",54,-2
"Thimble/Geelong/4552645","14/12/2008","14:59:18","OTHER INTERNATIONAL",25,4.95,"International","Shop Sales",NA,NA
"Jumper - Lds Turtle L/S Pink (Fk3617)","11/11/2011","15:53:32","TAIWAN",21,63.59,"International","Shop Sales",23.5,121
"Sock-Nwm - Ladies Black","27/10/2006","11:04:20","UNITED STATES",23,9.95,"International","Shop Sales",38,-97
"Soap - Lanolin/Ags","30/7/2007","14:36:16","JAPAN",11,3.95,"International","Shop Sales",36,138
"Beads - Colored  Mg","25/2/2014","12:50:42","UNITED STATES",23,22.68,"International","Shop Sales",38,-97
"%Nwm - Concess Admit","23/8/2006","14:04:39","NEW ZEALAND",15,17.7,"International","Ticket Sales",-41,174
"%Nwm - Concess Admit","9/1/2007","14:32:42","UNITED KINGDOM",22,5.9,"International","Ticket Sales",54,-2
"Postcard - Nrth/Carousel 1-10034","17/3/2009","12:14:16","CANADA",3,0.95,"International","Shop Sales",60,-95
"Keyring/Koala/Wooden","30/11/2012","10:50:31","UNITED KINGDOM",22,5,"International","Shop Sales",54,-2
"Postcard/Sailor & Woman","24/12/2011","3:18:05","TAIWAN",21,1.14,"International","Shop Sales",23.5,121
"Magnet/#10 Green Twisted","22/9/2006","11:29:23","UNITED KINGDOM",22,3.5,"International","Shop Sales",54,-2
"Bookmarks/Opal Chip/Opbm","12/1/2011","16:29:29","UNITED KINGDOM",22,4.5,"International","Shop Sales",54,-2
"Card- Whimsies/Rainbow Lorikeet","8/8/2006","13:23:11","GERMANY",7,3.5,"International","Shop Sales",51,9
"Postcards -Carousel/Nuc 11ge006","10/11/2005","13:50:12","NEW ZEALAND",15,0.65,"International","Shop Sales",-41,174
"Postcards/G O R / 3sc/ 11go190","16/7/2008","16:30:25","GERMANY",7,0.65,"International","Shop Sales",51,9
"%Nwm - Adult Admit","12/11/2005","9:33:56","DENMARK",5,7.3,"International","Ticket Sales",56,10
"%Nwm - Concess Admit","2/4/2013","1:25:29","ANULA - NT",812,6,"International","Ticket Sales",NA,NA
"Magnet - Glg Bollards/Carousel 4063802","9/7/2008","12:51:37","GERMANY",7,4.5,"International","Shop Sales",51,9
"Postcards/G O R/12 Apostle/11go153","9/2/2015","1:32:08","UNITED KINGDOM",22,0.59,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","12/8/2008","5:30:22","UNITED STATES",23,7.3,"International","Ticket Sales",38,-97
"%Nwm - Concess Admit","30/1/2015","11:04:24","UNITED STATES",23,6.5,"International","Ticket Sales",38,-97
"Family Adult - NWM Only","13/10/2008","13:48:10","JAPAN",11,0,"International","Shop Sales",36,138
"%Nwm - Adult Admit","16/5/2011","10:39:53","UNITED STATES",23,36.5,"International","Ticket Sales",38,-97
"%Nwm - Adult Admit","22/2/2006","14:36:32","GERMANY",7,7.3,"International","Ticket Sales",51,9
"Sheep - Loopy Loopy Small","18/10/2010","13:28:38","CANADA",3,16.32,"International","Shop Sales",60,-95
"%Nwm - Adult Admit","8/3/2014","1:06:09","CANADA",3,7.5,"International","Ticket Sales",60,-95
"Postcard-W/Front Aerial G'long 1-10008","13/12/2011","1:54:17","ITALY",10,0.86,"International","Shop Sales",42.8333,12.8333
"%Nwm - Adult Admit","24/4/2015","2:32:37","UNITED STATES",23,8.25,"International","Ticket Sales",38,-97
"Body Scrub Bar- Desert Lime","23/4/2007","15:59:28","OTHER INTERNATIONAL",25,8.95,"International","Shop Sales",NA,NA
"Tea Towel - Sheep Crossing","8/10/2009","13:46:47","TAIWAN",21,8.14,"International","Shop Sales",23.5,121
"Postcards Apostles/Abg","14/12/2012","1:20:01","CHINA",4,0.68,"International","Shop Sales",35,105
"Hand Cream - Eucalyptus Blossom 60ml","19/6/2009","12:24:23","UNITED KINGDOM",22,7.95,"International","Shop Sales",54,-2
"Card - Eastern Rosella (J Boot)","5/4/2013","4:36:46","UNITED KINGDOM",22,5.41,"International","Shop Sales",54,-2
"Cap/Brush Cotton/A","1/2/2014","10:30:50","ITALY",10,7.23,"International","Shop Sales",42.8333,12.8333
"Postcard-W/Front Aerial G'long 1-10008","24/2/2013","2:01:57","FRANCE",6,0.86,"International","Shop Sales",46,2
"Koala/7"" Aus/Koa7-Flag","24/1/2009","12:10:36","HONG KONG",8,21.95,"International","Shop Sales",22.25,114.1667
"Liqueur Glasses - Set 2","4/3/2006","12:10:04","UNITED KINGDOM",22,39.95,"International","Shop Sales",54,-2
"Postcards - Bollards Bathing Beauties","13/1/2009","12:22:43","UNITED KINGDOM",22,1.5,"International","Shop Sales",54,-2
"Snowdome - Birds Australia","21/11/2010","16:36:11","UNITED KINGDOM",22,6.32,"International","Shop Sales",54,-2
"Postcard/Rippleside Swimming Club","15/8/2014","12:27:38","HONG KONG",8,1.14,"International","Shop Sales",22.25,114.1667
"Sticker - Geelong (Cs)","29/10/2011","12:57:38","SINGAPORE",17,2.68,"International","Shop Sales",1.3667,103.8
"Cookie Jar Gel  - Platypus","15/6/2006","9:28:00","HONG KONG",8,2.5,"International","Shop Sales",22.25,114.1667
"%Nwm - Adult Admit","30/1/2013","1:19:49","RUSSIA",16,7.5,"International","Ticket Sales",60,100
"Textile Fibre Forum","18/3/2009","13:10:30","UNITED KINGDOM",22,9.95,"International","Shop Sales",54,-2
"%Nwm - Child Admit","8/2/2014","12:53:12","HONG KONG",8,4,"International","Ticket Sales",22.25,114.1667
"Kanga/Roo/H Y 5271/White/13cm","3/1/2014","2:18:28","JAPAN",11,4.5,"International","Shop Sales",36,138
"Bracelet- Iron Ore Ir300151","11/10/2012","10:27:35","JAPAN",11,13.59,"International","Shop Sales",36,138
"Tea Tree Oil","5/3/2012","3:51:28","UNITED KINGDOM",22,12.27,"International","Shop Sales",54,-2
"Lens Cloth","6/12/2012","9:52:10","UNITED KINGDOM",22,3.59,"International","Shop Sales",54,-2
"Lanolin Beauty Cream/Vit E100g/Lb Ve","16/10/2010","13:51:29","CANADA",3,18.09,"International","Shop Sales",60,-95
"%Nwm - Voucher 20% Off Adm","4/8/2014","1:24:16","HONG KONG",8,3.6,"International","Ticket Sales",22.25,114.1667
"Woolly Wisdom","30/8/2008","15:57:57","UNITED STATES",23,14.95,"International","Shop Sales",38,-97
"Postcard/Sailor & Woman","28/4/2012","3:28:34","CHINA",4,1.14,"International","Shop Sales",35,105
"Postcards/Classic/Geelong/3 1403094","8/12/2008","11:13:09","OTHER INTERNATIONAL",25,0.85,"International","Shop Sales",NA,NA
"Mug/Kookaburras/15893","28/11/2013","2:48:13","UNITED KINGDOM",22,9.05,"International","Shop Sales",54,-2
"Magnets - Oz Fridge Pb125fm","17/3/2006","11:08:48","UNITED KINGDOM",22,1.95,"International","Shop Sales",54,-2
"Magnet/Aboriginal/Design Gima","19/7/2010","11:44:22","GERMANY",7,3.59,"International","Shop Sales",51,9
"%Nwm - Adult Admit","9/2/2012","11:59:05","CHINA",4,7.5,"International","Ticket Sales",35,105
"Postcard - East'n Beach 3-30006","8/10/2014","12:07:54","UNITED KINGDOM",22,0.91,"International","Shop Sales",54,-2
"Playing Cards - Australia","11/12/2012","11:26:27","UNITED KINGDOM",22,12.64,"International","Shop Sales",54,-2
"Book/Gor/64pp/200222","2/2/2015","3:11:42","UNITED KINGDOM",22,13.59,"International","Shop Sales",54,-2
"%Nwm - Concess Admit","17/2/2012","3:19:09","UNITED KINGDOM",22,6,"International","Ticket Sales",54,-2
"%Nwm - Concess Admit","22/11/2010","10:42:20","UNITED KINGDOM",22,5.9,"International","Ticket Sales",54,-2
"%Nwm - Adult Admit","17/4/2010","14:41:31","UNITED STATES",23,7.3,"International","Ticket Sales",38,-97
"Child - Redeem Nwm & Fdc","3/5/2009","15:22:43","CHINA",4,0,"International","Shop Sales",35,105
"Mug Mats/Bush Blend/Wildflower","11/11/2005","14:52:47","UNITED KINGDOM",22,21.95,"International","Shop Sales",54,-2
"Family Adult - NWM Only","2/2/2014","3:32:02","CHINA",4,0,"International","Shop Sales",35,105
"Coin Purse Nubuk C1-N","6/12/2008","17:14:03","TAIWAN",21,17.95,"International","Shop Sales",23.5,121
"Soap - Big Wildflower/Boronia","17/3/2012","11:15:05","CHINA",4,9.95,"International","Shop Sales",35,105
"Keyring Sheep  Zody","13/11/2010","12:49:26","UNITED STATES",23,5.91,"International","Shop Sales",38,-97
"Bookmark/Kanga Zody Bm1103a","14/1/2011","15:39:43","UNITED KINGDOM",22,4.5,"International","Shop Sales",54,-2
"Postcard/Volunteer Rifle Band","31/3/2014","11:52:17","TAIWAN",21,1.14,"International","Shop Sales",23.5,121
"Promotion (1 for 1) - NWM Only","1/1/2008","11:17:48","ITALY",10,0,"International","Shop Sales",42.8333,12.8333
"Postcards - Gor/Koala 11go160/Dno","25/10/2005","13:22:48","SWITZERLAND",20,0.65,"International","Shop Sales",47,8
"Postcards -Carousel/Nuc 11ge006","9/6/2008","14:00:56","NEW ZEALAND",15,0.65,"International","Shop Sales",-41,174
"Magnet/Symbol Resin/Happiness","5/4/2015","4:08:13","UNITED KINGDOM",22,3.18,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","16/10/2008","13:54:51","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"Manor House Rugs - One Module","8/11/2011","10:41:22","FRANCE",6,68.18,"International","Shop Sales",46,2
"Pendant - Opal Boulder Opl00010","19/1/2007","11:06:01","UNITED STATES",23,29.95,"International","Shop Sales",38,-97
"Postcards - Bollards Vic Bath Swimmers","11/2/2010","13:27:38","UNITED KINGDOM",22,1.36,"International","Shop Sales",54,-2
"Keyring Sheep - Jimmy","17/6/2007","16:38:00","JAPAN",11,5.95,"International","Shop Sales",36,138
"Postcards - Gor/Koala 11go160/Dno","22/9/2005","12:55:27","UNITED STATES",23,0.65,"International","Shop Sales",38,-97
"Postcards/Gor/11go159","19/1/2008","15:08:25","GERMANY",7,0.65,"International","Shop Sales",51,9
"Lanolin/Alice Cream W Placenta &Vit","22/10/2011","15:56:50","CHINA",4,9.05,"International","Shop Sales",35,105
"Badge - Aust & Boomerang 20-85951","28/2/2007","16:38:03","UNITED KINGDOM",22,2.65,"International","Shop Sales",54,-2
"Keyring/Kanga Bean/6442k","17/7/2014","2:52:36","CHINA",4,3.59,"International","Shop Sales",35,105
"Vest/Norfolk/Desert","20/4/2009","11:14:14","SINGAPORE",17,159.95,"International","Shop Sales",1.3667,103.8
"Sticker - Nwm","28/4/2006","10:33:55","OTHER INTERNATIONAL",25,0.55,"International","Shop Sales",NA,NA
"%Nwm - Concess Admit","2/4/2014","12:04:42","OTHER INTERNATIONAL",25,6,"International","Ticket Sales",NA,NA
"Postcards - Gor/Koala 11go160/Dno","24/5/2007","11:43:33","UNITED KINGDOM",22,0.65,"International","Shop Sales",54,-2
"Magnet - Wool Sml","2/12/2005","15:24:52","UNITED KINGDOM",22,7.9,"International","Shop Sales",54,-2
"Tray/Scatter/Wattle/89729","15/4/2014","4:02:39","UNITED KINGDOM",22,4.5,"International","Shop Sales",54,-2
"Glove/Std/Black/M","24/4/2015","2:47:46","UNITED STATES",23,31.82,"International","Shop Sales",38,-97
"Card - Kookaburra","18/1/2015","1:47:23","UNITED STATES",23,13.59,"International","Shop Sales",38,-97
"Postcard - Nwm 3 Sheep","24/4/2015","4:27:20","JAPAN",11,4.55,"International","Shop Sales",36,138
"Handbag/Leather/Lhb01/Dot Art","6/12/2013","2:23:07","GERMANY",7,49.95,"International","Shop Sales",51,9
"%Nwm - Concess Admit","1/8/2008","11:07:10","CANADA",3,11.8,"International","Ticket Sales",60,-95
"Soap - Treasure","31/3/2006","14:36:50","JAPAN",11,6.95,"International","Shop Sales",36,138
"Postcard-W/Front Aerial G'long 1-10008","4/3/2015","11:39:31","UNITED KINGDOM",22,0.91,"International","Shop Sales",54,-2
"Card/Christmas In Australia","8/10/2014","12:57:45","UNITED STATES",23,1.77,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","10/4/2012","11:00:46","HONG KONG",8,7.5,"International","Ticket Sales",22.25,114.1667
"%Nwm - Adult Admit","9/5/2013","1:54:02","HONG KONG",8,7.5,"International","Ticket Sales",22.25,114.1667
"Family Child - NWM Only","27/7/2010","13:06:47","UNITED KINGDOM",22,0,"International","Shop Sales",54,-2
"Postcards - Bollards Rippleside Swim Clu","22/10/2012","11:23:16","UNITED STATES",23,1.36,"International","Shop Sales",38,-97
"%Nwm - Concess Admit","28/12/2013","4:06:52","CHINA",4,6,"International","Ticket Sales",35,105
"%Nwm - Child Admit","1/10/2007","10:06:08","CHINA",4,3.65,"International","Ticket Sales",35,105
"Great Ocean Rd","11/7/2005","15:07:05","UNITED STATES",23,2.95,"International","Shop Sales",38,-97
"%Nwm - 2 For 1 Adult Adm","9/2/2006","14:09:16","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"Postcard - Nwm ""little Off Sides Mate""","6/8/2010","11:29:56","UNITED KINGDOM",22,0.91,"International","Shop Sales",54,-2
"Postcard/G'day From Australia/Pc024","15/7/2013","3:58:49","OTHER INTERNATIONAL",25,0.59,"International","Shop Sales",NA,NA
"Bookmark - "" Sheep Wool Museum""","31/7/2009","13:05:00","UNITED KINGDOM",22,5.9,"International","Shop Sales",54,-2
"Where Is The Green Sheep","30/11/2011","4:04:26","UNITED STATES",23,18.14,"International","Shop Sales",38,-97
"Gift Card - Whimsies/Koala","9/1/2008","13:49:13","UNITED KINGDOM",22,1.25,"International","Shop Sales",54,-2
"Postcards/Gor/Montage/Go158","28/4/2006","10:44:21","OTHER INTERNATIONAL",25,0.65,"International","Shop Sales",NA,NA
"Magnet/#10 Green Twisted","28/11/2006","12:22:08","UNITED KINGDOM",22,3.5,"International","Shop Sales",54,-2
"Here's A Koala In The Kitchen","11/1/2011","12:28:17","NETHERLANDS",13,14.5,"International","Shop Sales",52.5,5.75
"Card/Assorted Aust/L Parrott","27/6/2014","11:26:16","UNITED KINGDOM",22,4.09,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","3/6/2010","11:57:32","OTHER INTERNATIONAL",25,7.3,"International","Ticket Sales",NA,NA
"Magnet/Gor Kombi/Apostles 507529","26/1/2015","12:44:44","UNITED KINGDOM",22,4.5,"International","Shop Sales",54,-2
"Postcards/Geelong Sunset/11ge005","3/2/2007","12:57:50","OTHER INTERNATIONAL",25,0.65,"International","Shop Sales",NA,NA
"%Nwm - Adult Admit","10/2/2010","10:26:03","CANADA",3,7.3,"International","Ticket Sales",60,-95
"Lanolin/Moisturising Cream/Placenta I627","4/7/2009","12:06:53","TAIWAN",21,19.9,"International","Shop Sales",23.5,121
"Tea Towel - Life In Outback","12/4/2008","13:29:50","DENMARK",5,10.95,"International","Shop Sales",56,10
"Earring/Iron Ore/Ir100029","7/8/2008","10:51:48","OTHER INTERNATIONAL",25,14.95,"International","Shop Sales",NA,NA
"Thermo Magnet Sheep Zody","13/2/2011","12:50:47","OTHER INTERNATIONAL",25,5.91,"International","Shop Sales",NA,NA
"Sock 44c/Lds/Quilted/Black","9/1/2015","3:55:23","SWITZERLAND",20,18.14,"International","Shop Sales",47,8
"Card - Galah (J Boot)","13/4/2009","14:08:37","UNITED KINGDOM",22,5.5,"International","Shop Sales",54,-2
"Face Washer  Ass Design R&R","30/11/2008","11:38:17","CANADA",3,10.95,"International","Shop Sales",60,-95
"Cookie Jar Gel  - Kangaroo","7/8/2006","11:51:17","JAPAN",11,2.5,"International","Shop Sales",36,138
"%Nwm - Concess Admit","26/3/2013","10:33:41","UNITED KINGDOM",22,6,"International","Ticket Sales",54,-2
"Postcard/Australia Kanga170","31/12/2010","10:40:35","FRANCE",6,0.59,"International","Shop Sales",46,2
"Sticker - Geelong (Cs)","21/1/2011","15:00:15","JAPAN",11,2.68,"International","Shop Sales",36,138
"%Nwm - Child Admit","4/1/2013","12:18:22","UNITED KINGDOM",22,4,"International","Ticket Sales",54,-2
"Bookmark - Kanga/Koala 2 Pack Bm-2m","10/7/2008","11:29:29","NEW ZEALAND",15,16.95,"International","Shop Sales",-41,174
"Mugmats 1 Sheep/Pine","14/3/2010","14:16:40","JAPAN",11,7.23,"International","Shop Sales",36,138
"Soap/Wrapped - Lemon Myrtle","18/1/2008","15:11:12","SWITZERLAND",20,4.95,"International","Shop Sales",47,8
"Face Washer/Pincushion Hakea","12/2/2015","3:14:29","UNITED STATES",23,16.32,"International","Shop Sales",38,-97
"Lanolin Skin Cream 250 G(H/W)","9/9/2005","11:38:54","JAPAN",11,8.95,"International","Shop Sales",36,138
"Hand Cream - Kangaroo 60ml","15/6/2013","11:34:02","TAIWAN",21,7.23,"International","Shop Sales",23.5,121
"Soap-Blu Wren 100gm","21/11/2008","14:45:38","UNITED KINGDOM",22,4.5,"International","Shop Sales",54,-2
"Card - Eastern Rosellas","18/2/2007","11:04:01","NEW ZEALAND",15,3.5,"International","Shop Sales",-41,174
"Yarn Magazine Issue 28","20/11/2014","12:40:12","SWITZERLAND",20,8.14,"International","Shop Sales",47,8
"Postcard/Australia Kanga170","31/12/2010","10:40:35","FRANCE",6,0.59,"International","Shop Sales",46,2
"Kangaroo - Boogee S","3/2/2012","3:40:04","GERMANY",7,7.23,"International","Shop Sales",51,9
"%Nwm - Adult Admit","9/1/2015","2:30:43","TAIWAN",21,8.25,"International","Ticket Sales",23.5,121
"Backpack/Kids/Roo/Koala/Sun58s","4/9/2010","16:19:42","TAIWAN",21,13.59,"International","Shop Sales",23.5,121
"%Nwm - Adult Admit","4/12/2012","4:58:10","GERMANY",7,7.5,"International","Ticket Sales",51,9
"Pen/Bottle Opener (Penkr/Foot) 1636nb","2/2/2011","15:53:12","NETHERLANDS",13,8.14,"International","Shop Sales",52.5,5.75
"Postcard/Australia Kanga170","27/11/2009","12:51:18","UNITED KINGDOM",22,0.59,"International","Shop Sales",54,-2
"Hand Cream - Kangaroo 60ml","31/1/2014","12:25:40","MALAYSIA",12,8.14,"International","Shop Sales",2.5,112.5
"%Nwm - Concess Admit","29/10/2009","11:46:31","NEW ZEALAND",15,11.8,"International","Ticket Sales",-41,174
"Bookmark/Embroidered","31/1/2015","3:08:05","UNITED STATES",23,6.32,"International","Shop Sales",38,-97
"%Nwm - Child Admit","2/1/2014","9:40:25","UNITED STATES",23,4,"International","Ticket Sales",38,-97
"Sandalwood Soap","1/12/2011","2:17:48","NEW ZEALAND",15,5,"International","Shop Sales",-41,174
"%Nwm - Adult Admit","6/8/2014","2:50:47","UNITED KINGDOM",22,8.25,"International","Ticket Sales",54,-2
"Scarf - Wool On Georgette 91630","6/3/2007","15:07:47","OTHER INTERNATIONAL",25,69.95,"International","Shop Sales",NA,NA
"Postcards/Gor/11go159","1/2/2008","13:14:05","GERMANY",7,0.65,"International","Shop Sales",51,9
"Lens Cloth","10/4/2013","11:10:57","CHINA",4,4.09,"International","Shop Sales",35,105
"%Nwm - Concess Admit","13/9/2010","11:29:06","UNITED STATES",23,23.6,"International","Ticket Sales",38,-97
"Postcard/Volunteer Rifle Band","22/9/2014","12:03:56","CHINA",4,1.14,"International","Shop Sales",35,105
"%Nwm - Adult Admit","4/10/2007","12:09:13","UNITED KINGDOM",22,14.6,"International","Ticket Sales",54,-2
"Farmyard Tales - Woolly Stops The Train","26/11/2007","16:57:17","UNITED KINGDOM",22,4.95,"International","Shop Sales",54,-2
"Postcard - Nwm ""little Off Sides Mate""","8/7/2013","12:37:25","UNITED KINGDOM",22,0.91,"International","Shop Sales",54,-2
"%Nwm - Concess Admit","27/1/2008","14:33:34","UNITED KINGDOM",22,5.9,"International","Ticket Sales",54,-2
"%Nwm - Adult Admit","16/11/2014","2:38:06","CANADA",3,8.25,"International","Ticket Sales",60,-95
"%Nwm - Concess Admit","3/5/2006","15:50:35","UNITED KINGDOM",22,5.9,"International","Ticket Sales",54,-2
"Kangaroo 6""","31/10/2006","12:27:59","UNITED KINGDOM",22,4.95,"International","Shop Sales",54,-2
"%Nwm - Concess Admit","12/7/2011","11:31:48","NEW ZEALAND",15,6,"International","Ticket Sales",-41,174
"%Nwm & Fdc - Adult","5/11/2008","11:33:17","NEW ZEALAND",15,11.5,"International","Ticket Sales",-41,174
"%Nwm - Family Adm(2+2)","14/6/2005","14:22:20","NEW ZEALAND",15,20,"International","Ticket Sales",-41,174
"Skin Sox - (L)","15/3/2006","13:03:00","CANADA",3,49.95,"International","Shop Sales",60,-95
"%Nwm - Adult Admit","19/2/2015","1:16:17","GERMANY",7,8.25,"International","Ticket Sales",51,9
"Face Washer/Emb","31/7/2008","16:42:19","HONG KONG",8,10.95,"International","Shop Sales",22.25,114.1667
"%Nwm - Adult Admit","10/4/2011","14:03:19","SWITZERLAND",20,7.3,"International","Ticket Sales",47,8
"Kangaroo 6""","23/4/2009","13:43:21","UNITED KINGDOM",22,4.95,"International","Shop Sales",54,-2
"T-Shirt/Wattle/M","28/10/2008","16:52:28","UNITED KINGDOM",22,43.95,"International","Shop Sales",54,-2
"Postcards/Eastern Beach/11ge003/Dno","26/7/2010","14:37:09","UNITED STATES",23,0.59,"International","Shop Sales",38,-97
"Koala - Gumleaf","28/4/2006","10:33:57","OTHER INTERNATIONAL",25,4.5,"International","Shop Sales",NA,NA
"%Nwm - Group Child /Xmas Program","10/1/2011","9:10:18","NEW ZEALAND",15,4.55,"International","Ticket Sales",-41,174
"Postcard - Nwm Baabaa Shop","26/7/2013","11:03:58","TAIWAN",21,0.91,"International","Shop Sales",23.5,121
"Postcard-W/Front Aerial G'long 1-10008","6/12/2014","1:22:45","UNITED STATES",23,0.86,"International","Shop Sales",38,-97
"Kanga/8620/46cm","4/3/2010","12:45:29","UNITED KINGDOM",22,36.32,"International","Shop Sales",54,-2
"Postcard/Mathew Flinders","12/3/2012","10:24:50","TAIWAN",21,1.14,"International","Shop Sales",23.5,121
"Lanolin/Papillon Cream/100g","3/8/2005","16:22:28","JAPAN",11,4.95,"International","Shop Sales",36,138
"Notes/Travel Spiral/Blue Wren","29/12/2014","10:58:17","UNITED KINGDOM",22,3.59,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","2/10/2013","11:36:56","CHINA",4,7.5,"International","Ticket Sales",35,105
"Postcard/G'day From Australia/Pc024","26/8/2010","15:05:40","UNITED KINGDOM",22,0.59,"International","Shop Sales",54,-2
"Sticker - Geelong (Cs)","14/10/2010","10:04:38","JAPAN",11,2.68,"International","Shop Sales",36,138
"Postcards Apostles/Abg","27/11/2009","12:51:17","UNITED KINGDOM",22,0.68,"International","Shop Sales",54,-2
"Backpack/Kids/Roo/Koala/Sun58s","21/1/2010","11:40:26","SWITZERLAND",20,13.59,"International","Shop Sales",47,8
"Bookmarks/Opal Chip/Opbm","17/2/2012","2:13:42","UNITED STATES",23,4.5,"International","Shop Sales",38,-97
"Foot Warmer/Cream (S)","21/12/2006","13:22:25","OTHER INTERNATIONAL",25,31.95,"International","Shop Sales",NA,NA
"Postcard/Australia Kanga170","8/8/2011","13:10:39","FRANCE",6,1.18,"International","Shop Sales",46,2
"Card - Young Koala","21/6/2005","12:11:24","UNITED KINGDOM",22,3.5,"International","Shop Sales",54,-2
"%Nwm - Adult Admit","15/11/2009","12:40:59","UNITED KINGDOM",22,14.6,"International","Ticket Sales",54,-2
